no_id;judul;author;penerbit;isBestSeller;original_rating;adjusted_rating;rating_count;review_count;genre;Unnamed: 10
361;Transit Urban Stories;Seno Gumira Ajidarma;Gramedia Pustaka Utama;0.0;3.62;4.0;81.0;;novel;
362;Perihal Gendis;Sapardi Djoko Damono;Gramedia Pustaka Utama;1.0;3.73;4.0;228.0;45.0;novel;
363;Laluba;Nukila Amal;Gramedia Pustaka Utama;1.0;3.53;4.0;140.0;;novel;
364;Menuju Negeri Antah Berantah (Destination Unknown);Agatha Christie;Gramedia Pustaka Utama;0.0;3.7;4.0;12656.0;;novel;
365;Love Beyond Reason (Cinta Buta);Sandra Brown;Gramedia Pustaka Utama;0.0;3.68;4.0;3843.0;;romance;
366;Pembunuhan ABC (The ABC Murders);Agatha Christie;Gramedia Pustaka Utama;0.0;4.03;4.0;138250.0;;novel;
367;After The Funeral (Setelah Pemakaman);Agatha Christie;Gramedia Pustaka Utama;0.0;3.9;4.0;34881.0;;novel;
368;Anastasias Diary Teluk Alaska;Eka Aryani;Coconut Book;0.0;4.33;4.0;6.0;;novel;
369;Invalidite;Faradita;Kubus Media;1.0;3.9;4.0;356.0;;novel;
370;Sergius Mencari Bacchus;Norman Erikson Pasaribu;Gramedia Pustaka Utama;1.0;3.9;4.0;465.0;129.0;puisi;
371;Di Kala Pagi;Reni Nuryanti;Kepustakaan Populer Gramedia;1.0;3.13;3.0;15.0;7.0;novel;
372;Menanam Warisan;Rosyid H. Dimas;Kepustakaan Populer Gramedia;1.0;3.62;4.0;16.0;;novel;
374;Permulaan Sebuah Musim Baru Di Suriname;Koko Hendri Lubis;Ircisod;1.0;2.4;2.0;5.0;;novel;
375;Kisah Cinta (Love Story);Erich Segal;Gramedia Pustaka Utama;1.0;3.64;4.0;57714.0;;romance;
376;Menghardik Gerimis;Sapardi Djoko Damono;Gramedia Pustaka Utama;0.0;3.85;4.0;130.0;33.0;novel;
377;Distilasi Alkena;Wira Nagara;Mediakita;0.0;4.2;4.0;992.0;;cerpen;
378;Rusunothing;Ratri Ninditya;Gramedia Pustaka Utama;1.0;3.56;4.0;75.0;;puisi;
379;Bambi: Kehidupan di Dalan Hutan (Bambi: A Life In The Woods);Felix Salten;Gramedia Pustaka Utama;0.0;4.12;4.0;34768.0;;novel;
380;Mayat Dalam Perpustakaan (The Body In The Library);Agatha Christie;Gramedia Pustaka Utama;1.0;3.84;4.0;88824.0;;novel;thriller
381;Gajah Selalu Ingat (Elephant'S Can Remember);Agatha Christie;Gramedia Pustaka Utama;0.0;3.65;4.0;35617.0;;novel;
382;Seribu Wajah Ayah;Nurun Ala;Gramedia Widiasarana Indonesia;1.0;4.18;4.0;360.0;;drama;novel
383;Chocolate Magic : Dacquoise Chocolate - Maze of Memory;Rina Mizuho;m&c!;0.0;3.77;4.0;13.0;;novel;
384;Dari Tepi Sungai Vistula;Anton Kurnia;Diva Press;1.0;3.75;4.0;4.0;1.0;novel;
386;Balada Kafe Lara;Carson Mc Cullers;Penerbit Noktah;0.0;3.37;3.0;4569.0;;cerpen;
387;Persembunyian Black Bill;O. Henry;Laksana;1.0;2.0;2.0;1.0;;novel;
388;Boneka Dan Cerita-Cerita Yang Hilang;Daphne Du Maurier;Penerbit Noktah;1.0;3.69;4.0;2732.0;;novel;
389;Sherlock Holmes Misteri Di Wisma Wisteria;Sir Arthur Conan Doyle;Penerbit Noktah;0.0;3.88;4.0;2769.0;;novel;
390;Cupiderman 4G;S. Gegge Mappangewa;Sabda Mallomo;0.0;4.0;4.0;1.0;;novel;
391;TeenLit: Melodi Terakhir;Luna Torashyngu;Gramedia Pustaka Utama;0.0;3.21;3.0;19.0;3.0;novel;
392;Aku Lupa Bahwa Aku Perempuan;Ihsan Abdul Quddus;Alvabet;0.0;3.7;4.0;165.0;;novel;
393;Mahakarya Tak Dikenal;Honore De Balzac;DivaPress;0.0;3.83;4.0;4633.0;;novel;
394;Disforia Inersia;Wira Nagara;MEDIA KITA;0.0;4.12;4.0;405.0;;novel;
395;Separuh Hati Yang Pergi;Mimie Sarah;Wahyuqolbu;0.0;2.67;3.0;3.0;;novel;
396;Manuskrip yang Ditemukan di Accra (Manuscrito Encontrado Em Accra);Paulo Coelho;Gramedia Pustaka Utama;0.0;3.81;4.0;28301.0;;fiksi_sastra;
397;Cermin Tak Pernah Berdusta;Mira W;Gramedia Pustaka Utama;0.0;3.17;3.0;42.0;13.0;novel;
398;Koplak;Oka Rusmini;Gramedia Widiasarana Indonesia;0.0;3.09;3.0;46.0;10.0;novel;
399;The Cursed Hand;Sinta Susanti;Bhuana Ilmu Populer;0.0;3.1;3.0;20.0;;novel;
400;Karavansara;Rio Johan;Gramedia Pustaka Utama;1.0;4.12;4.0;24.0;11.0;sastra_indonesia;
401;Perempuan Laut;Usman Arrumy;Diva Press;0.0;5.0;5.0;1.0;;novel;
